descripcion	canntidad	valor	fecha							
AGUA PURA CON    	1	3500	13/04/2025							
AGUA PURA CON    	1	3500	13/04/2025							
SH DOVE CJN RE   	1	1100	13/04/2025							
SH DOVE CJN RE   	1	1100	13/04/2025							
LECHE COLANTA    	1	27500	13/04/2025							
HUEVO EXTRA X    	1	16700	13/04/2025							
TOSTADAS GUADA   	1	3400	13/04/2025							
TOSTADAS GUADA   	1	3400	13/04/2025							
PANELA PASTILL   	1	2750	13/04/2025							
COMINO CHAPETA   	1	2000	13/04/2025							
HALLS BARRA UN   	1	1600	13/04/2025							
CHOCOLATINA HE   	1	4000	13/04/2025							
DESOD SPEED ST   	5	1250	13/04/2025							
HARINA AREPA-R   	1	4300	13/04/2025							
HARINA AREPA-R   	1	4300	13/04/2025							
SAL REFISAL X    	1	1300	13/04/2025							
ACEITE SOLISOY   	1	6800	13/04/2025							
SPARKIES LINEA   	1	200	13/04/2025							
Q-IDA CAT X 50   	1	5450	13/04/2025							
JUGO HIT SURTI   	1	4000	13/04/2025							
RANCHERA 5 PAC   	1	5900	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
AZUCAR MANUELI   	1	2600	13/04/2025							
CERVEZA CORONI   	1	16800	13/04/2025							
TRIDENT FRESA/   	1	500	13/04/2025							
TRIDENT FRESA/   	1	500	13/04/2025							
CERVEZA CORONI   	1	16800	13/04/2025							
LECHE DE SOYA    	1	25200	13/04/2025							
LECHE COLANTA    	1	16700	13/04/2025							
LECHE COLANTA    	1	16700	13/04/2025							
CHOCOLATE LUKE   	1	8850	13/04/2025							
CHOCOLATE LUKE   	1	8850	13/04/2025							
CHOCOLATE LUKE   	1	8950	13/04/2025							
CHOCOLATE LUKE   	1	8950	13/04/2025							
ACEITE SOLISOY   	1	6800	13/04/2025							
WHISKY SOMETHI   	1	62250	13/04/2025							
POPETAS MIX CA   	1	2100	13/04/2025							
CHOCO BROWNIE    	1	3000	13/04/2025							
SUAVITEL FRESC   	1	1800	13/04/2025							
ACEITE SOLISOY   	1	2300	13/04/2025							
SALCHICHON MIN   	1	2200	13/04/2025							
VIVE 100 FRUTO   	1	2500	13/04/2025							
PAPAS MARG PAK   	1	3800	13/04/2025							
BOLIQUESO X 34   	1	1700	13/04/2025							
SALSA BAR B-Q    	1	1700	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
GALLETA OREO S   	1	1000	13/04/2025							
QUIPITOS POS S   	1	600	13/04/2025							
QUIPITOS POS S   	1	600	13/04/2025							
PANELA PASTILL   	1	5500	13/04/2025							
HUEVO A BOLSA    	1	2450	13/04/2025							
DETER RINDEX C   	1	8450	13/04/2025							
COLA Y POLA PE   	1	5200	13/04/2025							
GALLETA OREO S   	1	1000	13/04/2025							
GALLETA OREO S   	1	1000	13/04/2025							
SUNTEA LIMON/M   	1	1300	13/04/2025							
AGUA CRISTAL X   	1	1200	13/04/2025							
LECHE CONDENSA   	1	10450	13/04/2025							
COCA COLA 3 LT   	1	48800	13/04/2025							
COCA COLA 3 LT   	1	48800	13/04/2025							
COCA COLA 400    	1	26600	13/04/2025							
COCA COLA 400    	1	26600	13/04/2025							
VASO 5 ONZAS T   	2	2200	13/04/2025							
VASO 7 ONZ T T   	5	2200	13/04/2025							
PAPA FOSFORITO   	1	7700	13/04/2025							
PA?ITOS HUMEDO   	1	3600	13/04/2025							
CREMA DE PEINA   	1	1100	13/04/2025							
AZUCAR MANUELI   	1	2600	13/04/2025							
